agl_thermal_conductivity_300K,agl_debye_temperature,agl_heat_capacity_Cp_300K,agl_heat_capacity_Cv_300K,agl_thermal_expansion_300K
0.873709,170.984,31.2673,29.5532,8.50499e-05
0.875224,162.128,6.57283,5.92491,0.000133955
0.875463,212.167,25.5548,23.4693,0.000134063
0.875629,204.132,36.9368,35.2273,7.16329e-05
0.872864,170.868,19.2004,17.74,0.000116292
0.876257,146.954,25.1479,23.738,8.65943e-05
0.877261,184.058,18.5066,17.6858,6.53507e-05
0.880727,191.959,27.6223,26.4853,7.01048e-05
0.881447,129.939,12.2864,11.8924,4.59939e-05
0.881041,144.923,12.4351,11.8695,6.19969e-05
0.886115,265.861,42.1343,40.4634,6.95255e-05
0.883353,195.992,15.2296,14.7001,5.10559e-05
0.883136,134.965,19.0346,17.8353,0.000100523
0.882369,214.917,67.4883,64.4321,7.23914e-05
0.887882,163.919,15.9453,14.7997,0.000123835
0.8885,223.204,19.3182,17.5665,0.000114144
0.890681,190.047,36.609,35.3178,5.34238e-05
0.890978,146.853,9.90565,8.90799,0.000173383
